Yeməyin Adı,Mənşə,Bölgə,Kateqoriya,Tərkib hissələri,Hazırlanma qaydası,Hazırlanma müddəti,Çətinlik dərəcəsi,Porsiya sayı,Tarixi məlumat/Arxa plan,Təqdim təklifləri,Şəkil Linki
Şabalıdlı plov,"Ümumi Azərbaycan (Türk plovu kimi qeyd olunsa da, şabalıdlı plov Azərbaycanda da geniş yayılıb)",,Plov,Ət üçün: yağsız quzu əti – 1.5 kq; darçın – 1 ç.q; qırmızı pul bibər – 1 y.q; qara bibər – 2 ç.q; duz – 2 ç.q; sarımsaq – 3 diş; böyük soğan – 1 ədəd; kərə yağı – 1 y.q; duru yağ – 1 y.q; isti su – 1 stəkan. Plov üçün: şabalıd – 750 qr; kərə yağı – 2 y.q; zeytun yağı – 2 y.q; uzun düyü – 2 su stəkanı; böyük kök – 6 ədəd; soğan – 2 ədəd; duz – 3 ç.q; qara bibər – 1.5 ç.q; darçın – 1 ç.q; isti ət suyu – 3.5 su stəkanı.,"1) Ətləri iri parçalar halında doğrayın. 2) Qazana yağları qoyun, əriyincə sarımsaqları rəndələyin və ətləri içinə atıb yaxşıca qovurun. 3) Ətlər suyunu verib çəkincə, incə doğranmış soğanları əlavə edin və təkrar qovurun. Ədviyyatları əlavə edin. 4) 1 stəkan isti su əlavə edib bişirin (qazanda 30 dəqiqə, polad qazanda təxminən 50 dəqiqə). Ətlər bişincə altını söndürün. 5) Plov üçün şabalıdları təpəsindən yana doğru kəsin və sobaya qoyun, 20 dəqiqə bişirin, sonra azca su əlavə edib 10 dəqiqə daha bişirin. Soyudun və soyun. 6) Kökləri və soğanları böyük kublar halında doğrayın. 7) Plov qazanına yağları qoyun, sonra sırayla qovurub soğan, yerkökü və düyüləri əlavə edin. 8) Bu qarışığa şabalıdın yarısını və ədviyyatları əlavə edin. 9) Ən sonda ət suyunu qarışdırın və plovu üzərinə əlavə edin, qısıq atəşdə bişməyə buraxın. 10) Plov bişincə 15 dəqiqə istirahət etdirin. 11) Geniş bir servis qabına tərs çevirin, ətrafına ətləri düzün. 12) Ən üstünə qalan şabalıdları 1 yemək qaşığı şəkər tozuyla və bir az kərə yağıyla qovurun plovun üzərinə tökün və servis edin.",120-180 dəq,Orta,6-8,"Şabalıdlı plov Azərbaycan mətbəxinin zəngin plov növlərindən biridir. Xüsusilə payız və qış aylarında, şabalıd mövsümündə hazırlanır.","İsti halda, ət və şabalıd qovurması ilə təqdim edilir.",[dadli.az saytından şəkil linki əlavə edin]
Şəkərbura,Ümumi Azərbaycan,,Şirniyyat,"Xəmir üçün: əla növ un – 1 kq + 1 x.q; kərə yağı – 400 q; yumurta sarısı – 5 ədəd; xama – 250 q; duz – ¼ ç.q; vanil tozu – ½ ç.q; quru maya – ½ ç.q; şəkər tozu – 1 x.q; ilıq süd – ½ stəkan (125 ml). İçlik üçün: fındıq ləpəsi, və ya badam (qoz ləpəsi də olar) – 700 q; şəkər tozu – 700 q; hil – 2 ç.q (zövqə görə).","1) Xəmiri hazırlayın: Unu və kərə yağını geniş qaba qoyun və əlinizlə toz halına gələnə kimi yaxşıca ovun. Ayrı qabda yumurta sarısını, xamanı, duzu və vanil tozunu qaşıqla qarışdırın. Ayrı qabda toz mayanı, 1 x.q. unu, 1 x.q. şəkər tozunu qarışdırın. Üstünə 1/4 stəkan ilıq süd tökün. Qoyun kənarda təxminən 2 dəqiqə qalsın. Yumurta-xama qarışığını və mayalı qarışığını un-yağ qarışığına əlavə edin. Əlinizlə ərzaqlar qarışanadək xəmir yoğurun. Xəmiri kündələyin və üstünü örtərək 30-40 dəqiqəlik kənara qoyun. 2) İçliyi hazırlayın: Qovrulmuş və qabığı soyulmuş fındığı və ya qozu və yaxud qabığı soyulmuş badamı sürtkəcli maşından keçirin və narın üyüdün. Üstünə toz şəkəri, və ətirli olması üçün hil əlavə edib qarışdırın. 3) Dincəlmiş xəmiri hər biri 50 qram olmaq şərtilə 36 kündəyə bölün. Kündələrın qurumaması üçün, üstlərini örtün. Hər kündəni oxlovla diametri 10 cm olan kiçik dairələrə yayın. 4) Hər dairənin arasına 2 x.q. iç qoyun və dairəni yarım-ay şəklində bükün. Kənarlarını bərkidin. Sonra isə vintvari şəkildə bükün. 5) Şəkərburaları üstünə kalka kağızı sərilmiş listə yığın. Sonra isə şəkərburaların üstünü bir-bir maqqaşla bəzəyin. 6) Şəkərburaları 180°C dərəcəlik sobada təxminən 20 dəqiqə ərzində kənarları bir az qızarana kimi bişirin.",90-120 dəq,Orta,36 ədəd,"Şəkərbura Azərbaycanın Novruz bayramı süfrələrinin ənənəvi şirniyyatlarından biridir. Fındıq və ya badam içliyi ilə hazırlanan, üzəri naxışlarla bəzədilən şirin bir qənnadı məmulatıdır.",Çay ilə təqdim edilir.,[azcookbook.com saytından şəkil linki əlavə edin]
Şorqoğal,Ümumi Azərbaycan,,Şirniyyat/Çörək,Xəmir üçün: toz maya – 1 paçka (2 + ¼ çay qaşığı); ilıq su – 1 stəkan; un – 6 stəkan + yoğurmaq üçün əlavə; duz – 2 çay qaşığı; süd – 1 stəkan (otaq hərarətində); yumurta – 1 ədəd; əridilmiş və soyudulmuş kərə yağı – 200 qram. İç üçün: cirə – 2 x.q; razyana – 2 x.q; sarıkök – yarım ç.q; duz – 1 ç.q; istiot – bir çay qaşığının dörddə biri qədər; un – 2 stəkan; əridilmiş və soyudulmuş kərə yağı – 115 qram. Yağlamaq üçün: əridilmiş yağ – yarım kilo. Üstü üçün: yumurta sarısı – 2 ədəd; xaş-xaş – 1 x.q.,"1) Xəmir hazırlanması: Balaca bir kasada mayanı ilıq suda həll edib təxminən 10 dəqiqə köpüklənməsi üçün gözləyin. Unu iri qaba ələyin, üzərinə duz əlavə edib qarışdırın. Ortasında bir çökək açıb maya qarışığı, süd, yumurta, və yağı əlavə edin. Əlinizlə bunları qarışdırın. Xəmiri unlanmış taxta (və ya masada) yumuşaq və elastik olana kimi, 10 dəqiqə yoğurun. Xəmiri iri qaba qoyub üzərini dəsmal ilə örtüb gəlməsi üçün isti yerə qoyun, təxminən bir saat yarımlıq. 2) İç hazırlanması: Cirə və razyana toxumunu 2 dəq. ətri çıxana qədər qovurun. Ədvaları həvəngdə döyün. Bir qabda yağdan başqa iç üçün nəzərdə tutulan bütün ərzaqları qarışdırın. Əridilmiş yağı buraya əlavə edib əlinizlə narın umac olana kimi ovxalayın. 3) Gələn xəmiri kündələyib 9 bərabər hissəyə ayırın. Hər hissəni kündələyin. Biraz un səpilmiş taxtada bir kündəni 50 sm.lik dairə alınanadək yayın. Yaydıqca arada un səpin ki, xəmir oxlova yapışmasın, yaymaq rahat olsun. Sonra yuxanı oxlov vasitəsilə kənara qoyun. 4) 4 x.q yağı yuxanın üstünə çiləyib əlinizlə yayın. Qalan kündələrli də bu cür yayıb, üst-üstə yığın. Sonuncudan başqa hamısını yağlayın. İti bıçaqla, xəmirdən 5 sm enində zolaqlar kəsin, sonar isə zolaqları 30 sm. uzunluğunda düzbucaqlara kəsin. Dairənin qısa tərəflərini kəsməyin. Düzbucağın qısa tərəfindən başlayaraq onu rulet şəklində bükməyə başlayın. 5) Ruletin bir ucunu büzüb bağlayın, digər ucu açıq qalsın. Barmağınızla ruletin açıqqalan tərəfini oyun. İçi boş konus alınmalıdır. Oyuğun içinə bir x.q yarım içdən doldurun. Kökənin uclarını bir yerə gətirib bağlayın. Kökəni əlinizlə diametri 10 sm olanadək yastıladın. 6) Qoğalları bir-birindən aralı vəziyyətdə listlərə düzün. Əvvəlcədən sobanı 180°C-dək qızdırın. Qoğalların mərkəzində barmağınızla dəyaz boşluq açıb oraya bir çimdik iç qoyun. Qoğalların üstünə yumurtanın sarısını çəkin və xaşxaş səpin. 40 dəqiqə ərzində, və yaxud üstləri qızaranadək bişirin.",150-180 dəq,Orta,16-18 ədəd,"Şorqoğal Azərbaycanın Novruz bayramı süfrələrinin ənənəvi şirniyyatlarından biridir. Qat-qat xəmirdən hazırlanan, ədviyyatlı içliyi olan duzlu bir qənnadı məmulatıdır.",Çay ilə təqdim edilir.,[azcookbook.com saytından şəkil linki əlavə edin]
Şorqoğal,Ümumi Azərbaycan,,Şirniyyat/Şorqoğal,Xəmir üçün: toz maya – 1 paçka (2 +¼ çay qaşığı); ilıq su – 1 stəkan; un – 6 stəkan (+ əlavə yoğurmaq üçün); duz – 2 çay qaşığı; süd – 1 stəkan (otaq hərarətində); yumurta – 1 ədəd; əridilmiş və soyudulmuş kərə yağı – 200 q. İç üçün: cirə – 2 x.q; razyana – 2 x.q; sarıkök – yarım ç.q; duz – 1 ç.q; istiot – bir çay qaşığının dörddə biri qədər; un – 2 stəkan; əridilmiş və soyudulmuş kərə yağı – 115 q. Yağlamaq üçün: əridilmiş yağ – yarım kilo. Üstü üçün: yumurta sarısı – 2 ədəd; xaş-xaş – 1 x.q.,"1) Mayanı ilıq suda həll edib 10 dəqiqə köpüklənməsi üçün gözləyin. 2) Unu iri qaba ələyin, üzərinə duz əlavə edib qarışdırın. 3) Ortasında çökək açıb maya qarışığı, süd, yumurta və yağı əlavə edin. 4) Əlinizlə qarışdırın. Xəmiri unlanmış taxtada yumşaq və elastik olana kimi 10 dəqiqə yoğurun. 5) Xəmiri iri qaba qoyub üzərini dəsmal ilə örtüb gəlməsi üçün isti yerə qoyun (təxminən bir saat yarımlıq). 6) İçliyi hazırlayın: cirə və razyana toxumunu 2 dəqiqə ətri çıxana qədər qovurun. 7) Ədvaları həvəngdə döyün. 8) Bir qabda yağdan başqa iç üçün nəzərdə tutulan bütün ərzaqları qarışdırın. Əridilmiş yağı buraya əlavə edib əlinizlə narın umac olana kimi ovxalayın. 9) Yağlamaq üçün yağı əridin, duz əlavə edib kənara qoyun. 10) Xəmiri kündələyib 9 bərabər hissəyə ayırın. Hər hissəni kündələyin. 11) Biraz un səpilmiş taxtada bir kündəni 50 sm.lik dairə alınanadək yayın. 12) Yaydıqca arada un səpin. 13) 4 x.q yağı yuxanın üstünə çiləyib əlinizlə yayın. Qalan kündələri də bu cür yayıb, üst-üstə yığın. Sonuncudan başqa hamısını yağlayın. 14) Lay-lay xəmirin kənarlardan tutub diametri 60 sm olana kimi dartın. 15) İti bıçaqla, xəmirdən 5 sm enində zolaqlar kəsin, sonra isə zolaqları 30 sm. uzunluğunda düzbucaqlara kəsin. Dairənin qısa tərəflərini kəsməyin. 16) Düzbucağın qısa tərəfindən başlayaraq onu rulet şəklində bükməyə başlayın. 17) Ruletin bir ucunu büzüb bağlayın, digər ucu açıq qalsın. Barmağınızla ruletin açıqqalan tərəfini oyun. İçi boş konus alınmalıdır. (və ya ruleti əlinizdə hər iki tərəfindən tutaraq 3 dəfə burun, sonra əlinizlə basıb yastılayın. Yastıladığınız kökənin içində oyuq açın). 18) Oyuğun içinə bir x.q yarım içdən doldurun. Kökənin uclarını bir yerə gətirib bağlayın. Kökəni əlinizlə diametri 10 sm olanadək yastıladın. 19) Qoğalları bir-birindən aralı vəziyyətdə listlərə düzün. 20) Əvvəlcədən sobanı 180°C-dək qızdırın. 21) Qoğalların mərkəzində barmağınızla dəyaz boşluq açıb oraya bir çimdik iç qoyun. 22) Qoğalların üstünə yumurtanın sarısını çəkin və xaşxaş səpin. 23) 40 dəqiqə ərzində, və yaxud üstləri qızaranadək bişirin (20 dəqiqə bişdikdən sonra listlərin yerlərini dəyişin).",120-150 dəq (xəmirin gəlmə müddəti daxil),Orta,16-18,Şorqoğal Novruz bayramı süfrəsinin əsas şirniyyatlarından biridir. Qat-qat xəmiri və ədviyyatlı içliyi ilə fərqlənir.,Qara çay ilə isti və ya soyuq halda təqdim edilir.,[azcookbook.com saytından şəkil linki əlavə edin]
Südlü aş,Ümumi Azərbaycan,,Plov,"süd – 2 l; düyü – 1 kq; duz – zövqə görə; zəfəran – zövqə görə; kişmiş – 100 q; xurma – 100 q; kərə yağı – 350 q; bal, qaymaq – zövqə görə.","1) Südlü plov ətsiz, yalnız südlə bişirilir. 2) Düyünü təmizləyin, xırdası çoxdursa, aşsüzəndən keçirin. Bütöv düyünü isti suda təmiz yuyun. 3) Bir hissə düyüyə iki hissə süd götürün. Süd qaynadıqdan sonra içinə düyünü tökün, qarışdırın, bir az duz vurun. 4) Rəngi saralanadək zəfəran tökün. Yenə qarışdırın. 5) Düyü bişənə yaxın içinə yuyulmuş kişmiş, xurma, zövqə görə bir az şəkər tökün, ehtiyatla qarışdırın. 6) Düyü yumşalıb, südü çəkilibsə, dəmə qoyun. 7) Başqa bir qazanda kərə yağını dağ edin, dibinə qazmaq qoyun, süddə bişmiş düyünü qazmağın üstünə töküb yağlayın, dəmləyin. 8) İri buludlara çəkin.",60-90 dəq,Orta,4-6,Südlü aş Azərbaycan mətbəxinin ənənəvi şirin plov növlərindən biridir. Adətən səhər yeməyi və ya desert kimi təqdim edilir.,Bal və qaymaqla isti halda təqdim edilir.,[dadli.az saytından şəkil linki əlavə edin]
Toyuq bozartması,Ümumi Azərbaycan,,Ət yeməyi,toyuq – 1 kq; kartof – 600 qr; Super Sun yağı – 100 qr; baş soğan – 4 ədəd; keşniş – yarım dəstə; şüyüd – yarım dəstə; toyuq bulyonu – 4 st; duz – 1 ç.q; istiot – 1 ç.q.,"1) Təmizlənmiş toyuq tikələrə ayrılır. Super Sun yağında bir az qızarana qədər bişirilir. 2) Ayrıca qazanda yarım halqa doğranmış soğan qızardılır. 3) Kartoflar 2 və ya 4 yerə bölünür. Qızardılmış toyuğun üzərinə əlavə olunur. Kartofun da üzərinə qızardılmış soğan tökülür, sonra toyuq bulyonu əlavə olunaraq bişməyə qoyulur. 4) Hazır olana 5 dəqiqə qalmış üzərinə doğranmış göyərti səpilir.",60 dəq,Asan,4,Toyuq bozartması Azərbaycan mətbəxinin sevilən ət yeməklərindən biridir. Toyuq və kartofun birləşməsi ilə hazırlanan qidalı bir yeməkdir.,İsti halda təqdim edilir.,[neyeyek.az saytından şəkil linki əlavə edin]
Xəşil,Ümumi Azərbaycan,,Sıyıq,un – 1 st; qaynadılmış soyuq su – 3 st; duz – 1/3 ç.q. Üstü üçün: bəhməz (doşab); əridilmiş kərə yağı; şəkər tozu.,"1) Suyu bir qazana töküb üstünə duz töküb qarışdırın. 2) Ələnmiş unu əlavə edib yaxşı çalın. Elə çalmaq lazımdır ki düyür qalmasın. 3) Sonra qazın üstündə vam odda dayanmadan qarışdıra-qarışdıra bişirin. 4) Yemək getdikcə qatılaşacaq. Qatılaşanda 3-5 dəqiqə də dayanmadan qarışdırıb götürün. 5) Yemək hazır olan kimi tez boşqablara töküb ortasını qaşıqla çökək formada düzəldin. 6) Üstünə qaynar əridilmiş yağ, bəhməz və şəkər tozu tökün. Bu yeməyi bəzən şəkər tozu əvəzinə bal ilə də yeyirlər.",30-45 dəq,Asan,2,Xəşil Azərbaycanın milli mətbəxinin ənənəvi şirin yeməklərindən biridir. Xüsusilə soyuq havalarda enerji verən qidalı bir yeməkdir.,"İsti halda, üzərinə kərə yağı, bəhməz və şəkər tozu (və ya bal) əlavə edilərək təqdim edilir.",[resept.az saytından şəkil linki əlavə edin]
Yarpaq dolması,Ümumi Azərbaycan,,Dolma,"çəkilmiş qoyun əti – 1 kq; baş soğan – 3 ədəd; yumru düyü – 2.5 stəkan; ərinmiş kərə yağı – 3 x.q; keşniş, şüyüd və nanə – 1 dəstə (təzə nanə olmayanda nanə qurusu); duz – zövqə görə (yarpaq duzlu olanda duz tökülmür); istiot – zövqə görə; üzüm yarpağı.","1) Göyərtini xırda doğrayın. 2) Soğanı sürtgəcdən keçirin. 3) Dərin qabda əti, soğanı, düyünü, göyərtini, nanə qurusunu, yağı və zövqə görə istiot və duzu töküb yaxşı qarışdırın. (Əgər yarpaq duzludursa onda ətə duz vurmayın). 4) Dolmanı bükmək üçün yarpağı hazırlayın. Tutulmuş yarpaq olanda isti suda bir neçə dəfə yuyun ki, duzu getsin. Əgər təzə yarpaqdan bükürsünüzsə onda qaynar suya yarpağı salın rəngi saralan kimi götürün. Saplaqlarını kəsin. Təzə yarpaqdan dolma bükəndə ətə mütləq duz vurun. 5) Hər yarpağın ortasına 1 ç.q ət qoyub yanlarını içəri doğru qatlayaraq bükün. 6) Bükülmüş dolmaları qazana yığın. Qurtaranda üzünə çıxana qədər su tökün. Ortasına ağzı aşağı düz boşqab qoyun. Boşqab dolmaları bişəndə dağılmağa qoymur. 7) Əvvəl gur odda dolmanı qoyun. Suyu qaynara düşəndə kəfini yığın. Sonra normal odda yağa düşənə qədər bişirin.",90-120 dəq,Orta,4-6,Yarpaq dolması Azərbaycan mətbəxinin ən məşhur və sevilən yeməklərindən biridir. Xüsusilə yaz aylarında təzə üzüm yarpaqları ilə hazırlanır.,"İsti halda, yanında qatıqla təqdim edilir. Zövqə görə qatığın içinə sarımsaq əzib tökə bilərsiniz.",[resept.az saytından şəkil linki əlavə edin]
Yarpaq Xəngəli (Quru Xəngəl/Süzmə Xəngəl),Ümumi Azərbaycan (Qərb zonasında qurutla təqdim edilir),,Xəmir yeməyi,"Xəmir üçün: ələnmiş un – 2.5 fincan (təxminən 375 q) + yoğurmaq və yuxa yaymaq üçün əlavə; duz – ½ ç.q; yumurta – 1 ədəd; su – 1 fincan (otaq temperaturunda). Xəngəlin üzərinə qoymaq üçün: yağ – ¼ fincan (əgər ət yağsızdırsa yağ daha çox istifadə oluna bilər); qiymələnmiş mal yaxud qoyun əti – 450-500 q; orta boy baş soğan – 1 ədəd (xırda doğranmış, təxminən 1 fincan); duz – zövqə görə; istiot – zövqə görə. Əlavə: əridilmiş yağ; sarımsaqlı qatıq (Qərb zonasında qurutdan istifadə olunur).","1) Xəmirin hazırlanması: Böyük bir qaba un, duz tökülüb qarışdırılır. Unun ortasında yuva açılır, yumurta sındırılıb yuvaya əlavə olunur. Az-az su tökülüb hamısı birlikdə barmaqlarla qarışdırılır, xəmir halına salınır. Xəmirlə işlənəcək yer – lövhənin üzərinə çoxlu un səpilir, xəmir yoğrulur. Təxminən 10 dəqiqə, xəmir bərkiyənə, səthi hamarlaşanadək yumruqla basılaraq yoğrulur. Hazır xəmir bərabər ölçülü kündələrə ayrılır, bir qaba yığılıb dəsmalla üzəri örtülür, dincəlməyə qoyulur. 2) Xəmirin açılması: Yuxa yayılacaq yerə azca un səpilir, kündələr qoyulur və üzərinə un səpilir. Kündələr əllə basılaraq yastılanır, nazik oxlovla yayılır. Hər dəfə yayarkən yuxanı fırlatmaq lazımdır ki hər tərəfi açılsın. Təxminən diametri 25 sm olan yuxa açılır. Açılmış yuxanın üzərinə un səpilir və əllə hər tərəfinə yayılır. Un səpdikdən sonra oxlovla yayılaraq diametri 50-60sm olan dairə şəklində açılır. 3) Yuxanın kəsilməsi: Açılmış yuxa iti bıçaqla paralel və eninə, 5sm-lik kvadrat şəkildə kəsilir. Padnosa un səpilir, kəsilmiş xəngəllər üzərinə yığılır, qurumaq üçün bir kənara qoyulur. 4) Qiymə ətin hazırlanması: Orta ölçülü tavaya yağ tökülür, qızdırılır. Çəkilmiş ət əlavə olunur, tez-tez qarışdırılmaqla ətin suyu çəkilənəcən, 5-10 dəqiqə bişirilir. Yüngülcə qovrulan ətə xırda doğranmış soğan əlavə edilir, tez-tez qarışdırır, 10 dəqiqə, qızaranadək bişirilir. Zövqə görə duz, istiot vurulur. 5) Xəngəlin bişirilməsi: Böyük qazana 15 fincan su tökülür, 1 xörək qaşığı duz qatılır və qayanamağa qoyulur. Su qaynadıqda qurumağa qoyulmuş xəngəllər az-az, ehmalca suya salınır. Yapışmasın deyə böyük kəfgir qaşıqla arabir qarışdırılır. Təxminən 5 dəqiqə, yumşalanadək xəngəllər bişirilir. Bişmiş xəngəllər kəfgir qaşıqla götürülüb (yaxud aşsüzəndən süzülüb) geniş boşqablara düzülür. Üzərinə zövqə görə əridilmiş yağ tökülür, qızardılmış qiymə ət qoyulur. Sarımsaqlı qatıqla birgə süfrəyə verilir.",90-120 dəq,Orta,4-6,"Yarpaq Xəngəli Azərbaycan mətbəxinin ənənəvi xəmir yeməklərindən biridir. Xüsusilə soyuq qış günlərində sevilən, qidalı bir yeməkdir. Qərb zonasında qurutla təqdim edilməsi xarakterikdir.","İsti halda, üzərinə əridilmiş yağ və qiymə ət qoyularaq, sarımsaqlı qatıqla (və ya qurutla) təqdim edilir.",[azcookbook.com saytından şəkil linki əlavə edin]
"Yeznə qalın şirnisi (Şirin qalın, Bəy dəstəxanası)",Qərbi Azərbaycan,,Şirniyyat,un; süd; kərə yağı – 200g; şəkər – 150g; yumurta; maya; duz – ½ çay qaşığı; kişmiş (zövqə görə); yumurta sarısı (üzəri üçün); küncüt (üzəri üçün).,"1) Un, süd, kərə yağı, şəkər, yumurta, maya və duz qarışdırılaraq xəmir yoğrulur. 2) Xəmir acımağa qoyulur. 3) Xəmir yayılır və içinə kişmiş əlavə edilir. 4) Xəmir yağlanmış qabda yerləşdirilir, üzərinə yumurta sarısı çəkilir və küncüt səpilir. 5) 200°C-də 25-30 dəqiqə bişirilir.",Təxminən 90-120 dəq,Orta,Bilinmir,"Yeznə qalın, Qərbi Azərbaycan mətbəxinin ənənəvi şirniyyatlarından biridir. Toy adətlərində bəyə göndərilən şirniyyat olaraq da tanınır.",Çay ilə təqdim edilir.,[youtube.com saytından şəkil linki əlavə edin]
